Side Board		
SKU	Name	Quantity
30684-01	Extrusion Connection Bracket	2
25281-05	T-Slot Nut M5 Pre-Assembly	21
26018-01	Cast Corner Bracket, Clear	4
30517-03	Threaded Insert M5 x 10	12
30685-02	Side Board, X-Carve 750mm Size	1
26049-10	Extrusion T-Slot 20x20 x 250mm Long Black	2
26049-05	Extrusion T-Slot 20x20 x 708mm Long Black	2
25286-17	Button Head Screw M5 x 8 Steel/Black	8
25286-18	Button Head Screw M5 x 10	8
25286-19	Button Head Screw M5 x 12 Steel/Zinc	5
25286-29	Button Head Screw M5 x 14 Steel/Black	12
